Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
24-25;7;Championat de France;Domicile;Defaite;Landerneau;;Banc;D. Harris;25;25;0,42;25,42;6;12;0,50;3;4;0,75;3;8;0,38;0;0;;;;;;;;;15;1;3;4;2;1;1;0;1;3;2;-4;15;1;D. Harris
24-25;7;Championat de France;Domicile;Defaite;Landerneau;;Banc;J. Mouyokolo;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;6;J. Mouyokolo
24-25;7;Championat de France;Domicile;Defaite;Landerneau;;Banc;T. Cleante;14;19;0,32;19,32;1;3;0,33;1;2;0,50;0;1;0,00;0;0;;;;;;;;;2;1;0;1;4;1;0;1;0;1;0;-10;5;19;T. Cleante
24-25;7;Championat de France;Domicile;Defaite;Landerneau;;Banc;L. Bentoumi;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;21;L. Bentoumi
24-25;7;Championat de France;Domicile;Defaite;Landerneau;;Banc;N. Durand;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;22;N. Durand
24-25;7;Championat de France;Domicile;Defaite;Landerneau;;Banc;S. Lucet;18;25;0,42;25,42;2;4;0,50;2;3;0,67;0;1;0,00;0;0;;;;;;;;;4;1;0;1;0;1;1;0;0;2;3;-17;3;38;S. Lucet
24-25;7;Championat de France;Domicile;Defaite;Landerneau;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;0;4;4;0;2;0;0;0;0;0;0;0;0;Team / Coach
24-25;7;Championat de France;Domicile;Defaite;Landerneau;;Banc;TOTAUX EQUIPE;;;;;24;63;0,38;17;35;0,49;7;28;0,25;12;16;0,75;17;26;9;8;21;7;7;67;7;25;32;17;17;9;3;1;16;17;0;68;0;TOTAUX EQUIPE
24-25;8;Championat de France;Exterieur;Defaite;Bourges;Capitaine;Starter;J. Wojta(C);33;28;0,47;28,47;5;10;0,50;5;8;0,63;0;2;0,00;5;6;0,83;;;;;;;;15;1;4;5;5;5;5;0;0;4;4;-4;19;2;J. Wojta(C)
24-25;8;Championat de France;Exterieur;Defaite;Bourges;;Starter;J. Jocyte;30;50;0,83;50,83;3;7;0,43;2;4;0,50;1;3;0,33;5;7;0,71;;;;;;;;12;0;2;2;2;4;1;0;0;3;3;-6;7;4;J. Jocyte
