Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
24-25;3;Championat de France;Domicile;Victoire;Roche Vendée;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;1;2;3;0;0;0;0;0;0;0;0;0;0;Team / Coach
24-25;3;Championat de France;Domicile;Victoire;Roche Vendée;;Banc;TOTAUX EQUIPE;;;;;30;62;0,48;19;37;0,51;11;25;0,44;12;13;0,92;19;30;2;20;24;11;10;83;5;26;31;24;14;11;5;0;17;14;0;107;0;TOTAUX EQUIPE
24-25;4;Championat de France;Exterieur;Victoire;Villeneuve d'Ascq;;Starter;C. Franchelin;24;13;0,22;13,22;3;5;0,60;1;2;0,50;2;3;0,67;1;2;0,50;;;;;;;;9;1;3;4;8;1;0;0;0;3;1;26;17;2;C. Franchelin
24-25;4;Championat de France;Exterieur;Victoire;Villeneuve d'Ascq;;Starter;O. Bankole;23;1;0,02;1,02;3;5;0,60;0;2;0,00;3;3;1,00;2;2;1,00;;;;;;;;11;1;3;4;1;2;2;0;0;1;2;4;14;3;O. Bankole
24-25;4;Championat de France;Exterieur;Victoire;Villeneuve d'Ascq;;Starter;S. Chevaugeon;34;56;0,93;56,93;6;11;0,55;3;6;0,50;3;5;0,60;2;2;1,00;;;;;;;;17;0;1;1;5;2;1;0;0;1;4;30;17;10;S. Chevaugeon
24-25;4;Championat de France;Exterieur;Victoire;Villeneuve d'Ascq;;Starter;O. Chidom;17;26;0,43;26,43;5;12;0,42;4;9;0,44;1;3;0,33;2;2;1,00;;;;;;;;13;1;3;4;1;1;1;1;0;4;1;9;12;22;O. Chidom
24-25;4;Championat de France;Exterieur;Victoire;Villeneuve d'Ascq;;Starter;T. Clarke;27;14;0,23;14,23;5;10;0,50;5;10;0,50;0;0;;3;4;0,75;;;;;;;;13;2;5;7;3;4;2;0;0;5;5;6;15;34;T. Clarke
24-25;4;Championat de France;Exterieur;Victoire;Villeneuve d'Ascq;;Banc;N. Brochant;32;19;0,32;19,32;3;7;0,43;2;3;0,67;1;4;0,25;0;0;;;;;;;;;7;1;4;5;3;0;0;0;0;1;2;17;11;1;N. Brochant
24-25;4;Championat de France;Exterieur;Victoire;Villeneuve d'Ascq;Capitaine;Banc;A. Bouderra(C);15;47;0,78;47,78;1;2;0,50;0;0;;1;2;0,50;6;6;1,00;;;;;;;;9;0;0;0;4;2;0;0;0;1;5;-8;10;4;A. Bouderra(C)
24-25;4;Championat de France;Exterieur;Victoire;Villeneuve d'Ascq;;Banc;H. Akomatsri;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;14;H. Akomatsri
24-25;4;Championat de France;Exterieur;Victoire;Villeneuve d'Ascq;;Banc;S. Sagerer;25;4;0,07;4,07;5;6;0,83;2;3;0,67;3;3;1,00;2;2;1,00;;;;;;;;15;0;3;3;1;3;1;1;0;5;2;6;17;15;S. Sagerer
24-25;4;Championat de France;Exterieur;Victoire;Villeneuve d'Ascq;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;0;5;5;0;0;0;0;0;1;0;0;0;0;Team / Coach
24-25;4;Championat de France;Exterieur;Victoire;Villeneuve d'Ascq;;Banc;TOTAUX EQUIPE;;;;;31;58;0,53;17;35;0,49;14;23;0,61;18;20;0,90;18;30;9;9;31;18;15;94;6;27;33;26;15;7;2;0;22;22;0;118;0;TOTAUX EQUIPE
24-25;5;Championat de France;Domicile;Victoire;Lattes Montpellier;;Starter;N. Brochant;35;6;0,1;6,1;4;9;0,44;2;4;0,50;2;5;0,40;0;0;;;;;;;;;10;1;0;1;2;0;2;0;0;0;0;6;10;1;N. Brochant
24-25;5;Championat de France;Domicile;Victoire;Lattes Montpellier;;Starter;C. Franchelin;31;39;0,65;39,65;4;7;0,57;2;2;1,00;2;5;0,40;4;5;0,80;;;;;;;;14;0;2;2;10;3;1;0;0;3;5;13;20;2;C. Franchelin
24-25;5;Championat de France;Domicile;Victoire;Lattes Montpellier;;Starter;O. Bankole;25;5;0,08;5,08;2;9;0,22;1;4;0,25;1;5;0,20;4;4;1,00;;;;;;;;9;0;3;3;0;3;2;0;0;0;5;1;4;3;O. Bankole
24-25;5;Championat de France;Domicile;Victoire;Lattes Montpellier;;Starter;E. Martinez;23;9;0,15;9,15;3;7;0,43;1;3;0,33;2;4;0,50;0;0;;;;;;;;;8;2;4;6;1;1;2;0;0;5;1;5;12;12;E. Martinez
24-25;5;Championat de France;Domicile;Victoire;Lattes Montpellier;;Starter;T. Clarke;36;17;0,28;17,28;3;9;0,33;3;9;0,33;0;0;;10;11;0,91;;;;;;;;16;4;6;10;3;3;0;3;1;5;9;9;22;34;T. Clarke
24-25;5;Championat de France;Domicile;Victoire;Lattes Montpellier;Capitaine;Banc;A. Bouderra(C);9;6;0,1;6,1;0;1;0,00;0;0;;0;1;0,00;1;2;0,50;;;;;;;;1;0;1;1;0;3;0;0;0;1;1;-8;-3;4;A. Bouderra(C)
24-25;5;Championat de France;Domicile;Victoire;Lattes Montpellier;;Banc;S. Chevaugeon;21;21;0,35;21,35;3;5;0,60;1;2;0,50;2;3;0,67;4;4;1,00;;;;;;;;12;0;0;0;2;1;0;0;0;3;4;-2;11;10;S. Chevaugeon
24-25;5;Championat de France;Domicile;Victoire;Lattes Montpellier;;Banc;H. Akomatsri;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;14;H. Akomatsri
24-25;5;Championat de France;Domicile;Victoire;Lattes Montpellier;;Banc;S. Sagerer;17;37;0,62;37,62;2;3;0,67;1;1;1,00;1;2;0,50;0;0;;;;;;;;;5;0;0;0;0;0;1;0;0;3;0;-4;5;15;S. Sagerer
24-25;5;Championat de France;Domicile;Victoire;Lattes Montpellier;;Banc;M. Raimbault;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;16;M. Raimbault
24-25;5;Championat de France;Domicile;Victoire;Lattes Montpellier;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;0;4;4;0;4;0;0;0;1;0;0;0;0;Team / Coach
24-25;5;Championat de France;Domicile;Victoire;Lattes Montpellier;;Banc;TOTAUX EQUIPE;;;;;21;50;0,42;11;25;0,44;10;25;0,40;23;26;0,88;22;18;2;13;18;11;12;75;7;20;27;18;18;8;3;1;21;25;0;81;0;TOTAUX EQUIPE
24-25;6;Championat de France;Exterieur;Defaite;Chartres;;Starter;N. Brochant;33;17;0,28;17,28;3;6;0,50;1;3;0,33;2;3;0,67;0;0;;;;;;;;;8;0;5;5;3;2;1;1;0;2;0;-6;13;1;N. Brochant
24-25;6;Championat de France;Exterieur;Defaite;Chartres;;Starter;C. Franchelin;26;29;0,48;29,48;3;6;0,50;2;2;1,00;1;4;0,25;2;2;1,00;;;;;;;;9;1;1;2;6;3;0;0;0;5;2;1;11;2;C. Franchelin
24-25;6;Championat de France;Exterieur;Defaite;Chartres;;Starter;O. Bankole;29;56;0,93;56,93;5;15;0,33;3;7;0,43;2;8;0,25;1;2;0,50;;;;;;;;13;3;6;9;5;0;4;0;2;3;5;-1;20;3;O. Bankole
24-25;6;Championat de France;Exterieur;Defaite;Chartres;;Starter;S. Sagerer;14;42;0,7;42,7;1;4;0,25;1;3;0,33;0;1;0,00;4;4;1,00;;;;;;;;6;0;1;1;1;0;0;0;1;2;4;-2;5;15;S. Sagerer
24-25;6;Championat de France;Exterieur;Defaite;Chartres;;Starter;T. Clarke;30;33;0,55;33,55;8;12;0,67;8;12;0,67;0;0;;6;10;0,60;;;;;;;;22;4;6;10;1;4;1;0;0;5;7;-4;22;34;T. Clarke
24-25;6;Championat de France;Exterieur;Defaite;Chartres;Capitaine;Banc;A. Bouderra(C);13;31;0,52;31,52;2;5;0,40;1;1;1,00;1;4;0,25;1;1;1,00;;;;;;;;6;0;1;1;1;5;0;0;0;2;0;-9;0;4;A. Bouderra(C)
24-25;6;Championat de France;Exterieur;Defaite;Chartres;;Banc;S. Chevaugeon;18;41;0,68;41,68;2;6;0,33;2;4;0,50;0;2;0,00;0;2;0,00;;;;;;;;4;0;0;0;1;1;2;0;1;3;2;-9;0;10;S. Chevaugeon
24-25;6;Championat de France;Exterieur;Defaite;Chartres;;Banc;E. Martinez;14;16;0,27;16,27;1;2;0,50;1;2;0,50;0;0;;0;0;;;;;;;;;2;2;1;3;0;4;0;1;0;5;1;-2;1;12;E. Martinez
24-25;6;Championat de France;Exterieur;Defaite;Chartres;;Banc;H. Akomatsri;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;14;H. Akomatsri
24-25;6;Championat de France;Exterieur;Defaite;Chartres;;Banc;O. Chidom;18;35;0,58;35,58;1;4;0,25;1;4;0,25;0;0;;0;2;0,00;;;;;;;;2;1;4;5;0;3;1;2;0;4;2;-8;2;22;O. Chidom
24-25;6;Championat de France;Exterieur;Defaite;Chartres;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;1;1;2;0;1;0;0;0;0;0;0;0;0;Team / Coach
24-25;6;Championat de France;Exterieur;Defaite;Chartres;;Banc;TOTAUX EQUIPE;;;;;26;60;0,43;20;38;0,53;6;22;0,27;14;23;0,61;17;36;13;15;14;16;9;72;12;26;38;18;23;9;4;4;31;23;0;75;0;TOTAUX EQUIPE
24-25;7;Championat de France;Domicile;Victoire;Bourges;;Starter;N. Brochant;35;19;0,32;19,32;6;10;0,60;4;6;0,67;2;4;0,50;2;2;1,00;;;;;;;;16;0;3;3;1;1;2;0;0;2;1;4;17;1;N. Brochant
24-25;7;Championat de France;Domicile;Victoire;Bourges;;Starter;C. Franchelin;26;46;0,77;46,77;2;4;0,50;1;2;0,50;1;2;0,50;9;10;0,90;;;;;;;;14;0;2;2;9;2;2;0;0;1;7;-2;22;2;C. Franchelin
24-25;7;Championat de France;Domicile;Victoire;Bourges;;Starter;S. Chevaugeon;23;60;1;61;3;9;0,33;0;1;0,00;3;8;0,38;0;0;;;;;;;;;9;2;2;4;3;2;1;0;0;2;0;2;9;10;S. Chevaugeon
24-25;7;Championat de France;Domicile;Victoire;Bourges;;Starter;E. Martinez;29;19;0,32;19,32;2;4;0,50;1;2;0,50;1;2;0,50;6;8;0,75;;;;;;;;11;1;3;4;2;3;0;0;0;4;4;-1;10;12;E. Martinez
24-25;7;Championat de France;Domicile;Victoire;Bourges;;Starter;T. Clarke;38;29;0,48;29,48;5;9;0,56;5;9;0,56;0;0;;2;2;1,00;;;;;;;;12;1;3;4;2;0;2;1;0;4;2;6;17;34;T. Clarke
24-25;7;Championat de France;Domicile;Victoire;Bourges;;Banc;O. Bankole;20;41;0,68;41,68;7;9;0,78;4;4;1,00;3;5;0,60;3;4;0,75;;;;;;;;20;0;2;2;1;3;0;0;0;4;6;4;17;3;O. Bankole
24-25;7;Championat de France;Domicile;Victoire;Bourges;Capitaine;Banc;A. Bouderra(C);13;14;0,23;14,23;2;5;0,40;1;2;0,50;1;3;0,33;4;4;1,00;;;;;;;;9;0;0;0;4;2;1;0;0;2;2;7;9;4;A. Bouderra(C)
24-25;7;Championat de France;Domicile;Victoire;Bourges;;Banc;H. Akomatsri;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;14;H. Akomatsri
24-25;7;Championat de France;Domicile;Victoire;Bourges;;Banc;S. Sagerer;12;12;0,2;12,2;0;1;0,00;0;0;;0;1;0,00;0;0;;;;;;;;;0;0;1;1;1;1;1;0;0;2;1;5;1;15;S. Sagerer
24-25;7;Championat de France;Domicile;Victoire;Bourges;;Banc;M. Raimbault;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;16;M. Raimbault
24-25;7;Championat de France;Domicile;Victoire;Bourges;;Banc;C. Sontia Zeutsop;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;22;C. Sontia Zeutsop
