Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
24-25;15;Championat de France;Exterieur;Defaite;Charnay;;Banc;T. Cooper;10;8;0,13;8,13;1;3;0,33;0;1;0,00;1;2;0,50;0;0;;;;;;;;;3;0;1;1;0;1;0;0;0;1;0;0;1;2;T. Cooper
24-25;15;Championat de France;Exterieur;Defaite;Charnay;;Banc;I. Strunc;19;39;0,65;39,65;2;5;0,40;1;1;1,00;1;4;0,25;0;0;;;;;;;;;5;0;4;4;2;2;1;0;0;1;0;4;7;8;I. Strunc
24-25;15;Championat de France;Exterieur;Defaite;Charnay;;Banc;L. Monasse;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;9;L. Monasse
24-25;15;Championat de France;Exterieur;Defaite;Charnay;;Banc;M. Ewodo;6;1;0,02;1,02;1;4;0,25;1;3;0,33;0;1;0,00;0;0;;;;;;;;;2;0;2;2;0;1;0;0;0;2;0;4;0;14;M. Ewodo
24-25;15;Championat de France;Exterieur;Defaite;Charnay;;Banc;J. Celerier;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;27;J. Celerier
24-25;15;Championat de France;Exterieur;Defaite;Charnay;;Banc;N. Miyem;15;4;0,07;4,07;3;5;0,60;3;4;0,75;0;1;0,00;2;2;1,00;;;;;;;;8;0;1;1;2;0;1;0;0;2;2;1;10;77;N. Miyem
24-25;15;Championat de France;Exterieur;Defaite;Charnay;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;1;2;3;0;0;0;0;0;0;0;0;0;0;Team / Coach
24-25;15;Championat de France;Exterieur;Defaite;Charnay;;Banc;TOTAUX EQUIPE;;;;;23;56;0,41;19;38;0,50;4;18;0,22;15;20;0,75;15;20;11;4;18;8;8;65;10;22;32;14;14;8;2;3;21;18;0;69;0;TOTAUX EQUIPE
24-25;16;Championat de France;Domicile;Defaite;Landerneau;Capitaine;Starter;C. Droguet(C);29;54;0,9;54,9;1;7;0,14;1;5;0,20;0;2;0,00;0;2;0,00;;;;;;;;2;0;1;1;4;1;1;0;1;3;3;-3;-1;7;C. Droguet(C)
24-25;16;Championat de France;Domicile;Defaite;Landerneau;;Starter;M. Musa;26;36;0,6;36,6;5;11;0,45;5;11;0,45;0;0;;0;0;;;;;;;;;10;1;5;6;1;1;0;1;0;3;2;-6;11;11;M. Musa
