Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
24-25;15;Championat de France;Exterieur;Defaite;Bourges;;Banc;D. Balayera;20;39;0,65;39,65;3;8;0,38;2;6;0,33;1;2;0,50;1;1;1,00;;;;;;;;8;1;3;4;1;1;0;0;0;1;2;5;7;77;D. Balayera
24-25;15;Championat de France;Exterieur;Defaite;Bourges;;Banc;A. Bawara;2;8;0,13;8,13;0;1;0,00;0;1;0,00;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;-1;-1;95;A. Bawara
24-25;15;Championat de France;Exterieur;Defaite;Bourges;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;2;0;2;0;1;0;0;0;0;0;0;0;0;Team / Coach
24-25;15;Championat de France;Exterieur;Defaite;Bourges;;Banc;TOTAUX EQUIPE;;;;;28;68;0,41;18;35;0,51;10;33;0,30;7;10;0,70;16;28;5;2;32;2;10;73;9;21;30;19;18;7;0;0;16;16;0;68;0;TOTAUX EQUIPE
24-25;16;Championat de France;Domicile;Victoire;Charnay;;Starter;A. Gaye;17;43;0,72;43,72;1;3;0,33;1;3;0,33;0;0;;0;0;;;;;;;;;2;1;4;5;2;1;0;0;0;3;3;-7;6;3;A. Gaye
24-25;16;Championat de France;Domicile;Victoire;Charnay;;Starter;J. Phillips;32;5;0,08;5,08;5;18;0,28;4;13;0,31;1;5;0,20;2;3;0,67;;;;;;;;13;1;2;3;1;3;2;1;0;0;3;11;3;5;J. Phillips
24-25;16;Championat de France;Domicile;Victoire;Charnay;;Starter;B. Mccarty-Williams;40;48;0,8;48,8;6;15;0,40;3;6;0,50;3;9;0,33;3;3;1,00;;;;;;;;18;0;5;5;6;7;1;0;1;5;4;8;14;21;B. Mccarty-Williams
24-25;16;Championat de France;Domicile;Victoire;Charnay;;Starter;C. Ngukoug Silatsa;35;56;0,93;56,93;0;4;0,00;0;4;0,00;0;0;;7;12;0,58;;;;;;;;7;3;11;14;1;3;1;0;0;4;7;10;11;23;C. Ngukoug Silatsa
24-25;16;Championat de France;Domicile;Victoire;Charnay;;Starter;V. Gomis;39;16;0,27;16,27;9;16;0,56;7;9;0,78;2;7;0,29;4;4;1,00;;;;;;;;24;1;3;4;1;3;3;0;0;4;5;5;22;75;V. Gomis
24-25;16;Championat de France;Domicile;Victoire;Charnay;;Banc;E. Peytour;8;1;0,02;1,02;0;2;0,00;0;0;;0;2;0,00;0;0;;;;;;;;;0;0;2;2;1;1;0;0;0;1;0;-4;0;10;E. Peytour
24-25;16;Championat de France;Domicile;Victoire;Charnay;;Banc;L. Preneau;22;14;0,23;14,23;3;5;0,60;3;4;0,75;0;1;0,00;0;0;;;;;;;;;6;0;1;1;3;1;0;0;1;2;1;-1;7;27;L. Preneau
24-25;16;Championat de France;Domicile;Victoire;Charnay;Capitaine;Banc;S. Ousfar(C);35;11;0,18;11,18;3;8;0,38;0;0;;3;8;0,38;0;0;;;;;;;;;9;1;7;8;2;3;0;0;0;4;0;6;11;28;S. Ousfar(C)
24-25;16;Championat de France;Domicile;Victoire;Charnay;;Banc;D. Balayera;18;6;0,1;6,1;2;2;1,00;2;2;1,00;0;0;;0;0;;;;;;;;;4;2;5;7;0;0;0;0;0;4;0;2;11;77;D. Balayera
24-25;16;Championat de France;Domicile;Victoire;Charnay;;Banc;A. Bawara;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;95;A. Bawara
24-25;16;Championat de France;Domicile;Victoire;Charnay;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;1;2;3;0;1;0;0;0;1;0;0;0;0;Team / Coach
24-25;16;Championat de France;Domicile;Victoire;Charnay;;Banc;TOTAUX EQUIPE;;;;;29;73;0,40;20;41;0,49;9;32;0,28;16;22;0,73;19;34;6;21;19;7;7;83;10;42;52;17;23;7;1;2;28;23;0;87;0;TOTAUX EQUIPE
24-25;17;Championat de France;Exterieur;Victoire;Landerneau;;Starter;J. Phillips;26;0;0;0;4;11;0,36;2;5;0,40;2;6;0,33;2;4;0,50;;;;;;;;12;1;2;3;0;4;1;0;0;1;2;0;3;5;J. Phillips
24-25;17;Championat de France;Exterieur;Victoire;Landerneau;;Starter;B. Mccarty-Williams;30;40;0,67;40,67;2;7;0,29;1;2;0,50;1;5;0,20;0;2;0,00;;;;;;;;5;0;2;2;6;2;1;1;0;3;5;-4;6;21;B. Mccarty-Williams
24-25;17;Championat de France;Exterieur;Victoire;Landerneau;;Starter;C. Silatsa;19;16;0,27;16,27;1;4;0,25;1;4;0,25;0;0;;1;2;0,50;;;;;;;;3;1;4;5;2;1;1;1;0;2;2;4;7;23;C. Silatsa
24-25;17;Championat de France;Exterieur;Victoire;Landerneau;Capitaine;Starter;S. Ousfar(C);17;28;0,47;28,47;1;3;0,33;0;1;0,00;1;2;0,50;0;0;;;;;;;;;3;0;6;6;1;0;0;0;0;2;1;-2;8;28;S. Ousfar(C)
24-25;17;Championat de France;Exterieur;Victoire;Landerneau;;Starter;V. Gomis;28;25;0,42;25,42;6;12;0,50;2;5;0,40;4;7;0,57;0;0;;;;;;;;;16;0;2;2;6;1;1;0;1;3;1;3;18;75;V. Gomis
24-25;17;Championat de France;Exterieur;Victoire;Landerneau;;Banc;A. Gaye;22;1;0,02;1,02;6;13;0,46;6;12;0,50;0;1;0,00;0;2;0,00;;;;;;;;12;1;4;5;3;3;0;1;1;3;1;-1;9;3;A. Gaye
24-25;17;Championat de France;Exterieur;Victoire;Landerneau;;Banc;E. Peytour;8;4;0,07;4,07;0;2;0,00;0;0;;0;2;0,00;0;0;;;;;;;;;0;0;1;1;0;0;0;0;0;0;0;-3;-1;10;E. Peytour
24-25;17;Championat de France;Exterieur;Victoire;Landerneau;;Banc;L. Preneau;26;21;0,35;21,35;3;4;0,75;2;3;0,67;1;1;1,00;3;5;0,60;;;;;;;;10;0;1;1;0;0;1;0;0;2;3;7;9;27;L. Preneau
24-25;17;Championat de France;Exterieur;Victoire;Landerneau;;Banc;D. Balayera;21;14;0,23;14,23;3;5;0,60;2;3;0,67;1;2;0,50;0;1;0,00;;;;;;;;7;2;6;8;0;1;1;0;0;2;1;1;12;77;D. Balayera
24-25;17;Championat de France;Exterieur;Victoire;Landerneau;;Banc;A. Bawara;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;95;A. Bawara
24-25;17;Championat de France;Exterieur;Victoire;Landerneau;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;1;6;7;0;1;0;0;0;0;0;0;0;0;Team / Coach
24-25;17;Championat de France;Exterieur;Victoire;Landerneau;;Banc;TOTAUX EQUIPE;;;;;26;61;0,43;16;35;0,46;10;26;0,38;6;16;0,38;4;28;9;13;29;1;9;68;6;34;40;18;13;6;3;2;18;16;0;77;0;TOTAUX EQUIPE
24-25;18;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Starter;A. Gaye;15;7;0,12;7,12;0;2;0,00;0;2;0,00;0;0;;0;0;;;;;;;;;0;1;1;2;0;4;0;2;0;2;0;-22;-2;3;A. Gaye
24-25;18;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Starter;J. Phillips;22;6;0,1;6,1;1;7;0,14;0;3;0,00;1;4;0,25;0;0;;;;;;;;;3;0;3;3;2;4;0;0;0;3;2;-12;-2;5;J. Phillips
24-25;18;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Starter;B. Mccarty-Williams;38;59;0,98;59,98;9;20;0,45;3;7;0,43;6;13;0,46;8;8;1,00;;;;;;;;32;1;5;6;4;7;0;0;0;1;8;-14;24;21;B. Mccarty-Williams
24-25;18;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Starter;V. Gomis;29;52;0,87;52,87;1;7;0,14;0;2;0,00;1;5;0,20;0;1;0,00;;;;;;;;3;2;1;3;2;2;2;0;0;2;3;7;1;75;V. Gomis
24-25;18;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Starter;D. Balayera;18;28;0,47;28,47;1;6;0,17;1;5;0,20;0;1;0,00;1;2;0,50;;;;;;;;3;1;3;4;0;0;0;0;1;2;2;-22;1;77;D. Balayera
24-25;18;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;E. Peytour;11;9;0,15;9,15;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;1;1;0;0;0;2;-25;0;10;E. Peytour
24-25;18;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;C. Ngukoug Silatsa;24;53;0,88;53,88;5;8;0,63;5;8;0,63;0;0;;0;0;;;;;;;;;10;4;5;9;1;0;1;0;0;2;0;6;18;23;C. Ngukoug Silatsa
24-25;18;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;L. Preneau;15;37;0,62;37,62;1;4;0,25;1;3;0,33;0;1;0,00;0;0;;;;;;;;;2;0;2;2;1;2;0;0;0;1;0;-5;0;27;L. Preneau
24-25;18;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;Capitaine;Banc;S. Ousfar(C);21;32;0,53;32,53;2;8;0,25;1;2;0,50;1;6;0,17;0;0;;;;;;;;;5;1;3;4;3;4;1;0;0;5;1;6;3;28;S. Ousfar(C)
24-25;18;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;A. Bawara;2;7;0,12;7,12;1;2;0,50;1;2;0,50;0;0;;0;0;;;;;;;;;2;1;1;2;0;0;0;0;0;0;0;1;3;95;A. Bawara
24-25;18;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;1;2;3;0;0;0;0;0;0;0;0;0;0;Team / Coach
24-25;18;Championat de France;Exterieur;Defaite;Villeneuve d'Ascq;;Banc;TOTAUX EQUIPE;;;;;21;64;0,33;12;34;0,35;9;30;0,30;9;11;0,82;10;20;14;3;19;1;8;60;12;26;38;13;24;5;2;1;18;18;0;49;0;TOTAUX EQUIPE
24-25;19;Championat de France;Domicile;Victoire;Chartres;;Starter;J. Phillips;27;8;0,13;8,13;5;15;0,33;5;9;0,56;0;6;0,00;1;2;0,50;;;;;;;;11;1;5;6;1;3;2;1;0;0;1;12;7;5;J. Phillips
24-25;19;Championat de France;Domicile;Victoire;Chartres;;Starter;B. Mccarty-Williams;39;53;0,88;53,88;6;11;0,55;3;4;0,75;3;7;0,43;9;10;0,90;;;;;;;;24;0;4;4;7;6;1;0;0;2;7;16;24;21;B. Mccarty-Williams
24-25;19;Championat de France;Domicile;Victoire;Chartres;;Starter;C. Ngukoug Silatsa;16;5;0,08;5,08;1;1;1,00;1;1;1,00;0;0;;1;4;0,25;;;;;;;;3;1;3;4;0;0;1;0;0;3;2;2;5;23;C. Ngukoug Silatsa
24-25;19;Championat de France;Domicile;Victoire;Chartres;Capitaine;Starter;S. Ousfar(C);23;13;0,22;13,22;3;8;0,38;3;5;0,60;0;3;0,00;0;0;;;;;;;;;6;0;7;7;1;3;2;1;0;2;1;11;9;28;S. Ousfar(C)
24-25;19;Championat de France;Domicile;Victoire;Chartres;;Starter;V. Gomis;31;35;0,58;35,58;3;9;0,33;1;2;0,50;2;7;0,29;0;0;;;;;;;;;8;3;3;6;3;4;1;0;0;1;3;15;8;75;V. Gomis
24-25;19;Championat de France;Domicile;Victoire;Chartres;;Banc;A. Gaye;18;30;0,5;30,5;3;7;0,43;1;5;0,20;2;2;1,00;2;2;1,00;;;;;;;;10;1;8;9;1;2;0;4;0;1;2;5;18;3;A. Gaye
24-25;19;Championat de France;Domicile;Victoire;Chartres;;Banc;E. Peytour;4;4;0,07;4,07;0;1;0,00;0;0;;0;1;0,00;0;0;;;;;;;;;0;0;1;1;0;0;0;0;0;0;1;-2;0;10;E. Peytour
24-25;19;Championat de France;Domicile;Victoire;Chartres;;Banc;L. Preneau;17;14;0,23;14,23;0;4;0,00;0;3;0,00;0;1;0,00;2;2;1,00;;;;;;;;2;0;2;2;1;0;1;0;0;3;2;7;2;27;L. Preneau
24-25;19;Championat de France;Domicile;Victoire;Chartres;;Banc;D. Balayera;21;58;0,97;58,97;4;7;0,57;3;5;0,60;1;2;0,50;3;4;0,75;;;;;;;;12;5;1;6;0;0;1;0;1;1;2;14;15;77;D. Balayera
24-25;19;Championat de France;Domicile;Victoire;Chartres;;Banc;A. Bawara;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;95;A. Bawara
24-25;19;Championat de France;Domicile;Victoire;Chartres;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;0;2;2;0;0;0;0;0;0;0;0;0;0;Team / Coach
24-25;19;Championat de France;Domicile;Victoire;Chartres;;Banc;TOTAUX EQUIPE;;;;;25;63;0,40;17;34;0,50;8;29;0,28;18;24;0,75;13;26;11;10;24;16;9;76;11;36;47;14;18;9;6;1;13;21;0;90;0;TOTAUX EQUIPE
24-25;20;Championat de France;Exterieur;Defaite;Tarbes;;Starter;J. Phillips;22;29;0,48;29,48;3;10;0,30;1;5;0,20;2;5;0,40;2;2;1,00;;;;;;;;10;0;2;2;1;2;1;0;0;0;2;-7;5;5;J. Phillips
24-25;20;Championat de France;Exterieur;Defaite;Tarbes;;Starter;B. Mccarty-Williams;36;29;0,48;29,48;5;12;0,42;3;7;0,43;2;5;0,40;9;10;0,90;;;;;;;;21;1;1;2;7;3;2;0;0;2;8;-9;21;21;B. Mccarty-Williams
24-25;20;Championat de France;Exterieur;Defaite;Tarbes;;Starter;C. Ngukoug Silatsa;28;9;0,15;9,15;3;5;0,60;3;5;0,60;0;0;;0;0;;;;;;;;;6;2;4;6;4;3;2;1;0;1;1;-5;14;23;C. Ngukoug Silatsa
24-25;20;Championat de France;Exterieur;Defaite;Tarbes;Capitaine;Starter;S. Ousfar(C);30;53;0,88;53,88;2;5;0,40;2;4;0,50;0;1;0,00;0;0;;;;;;;;;4;0;4;4;2;3;0;0;1;4;0;-7;4;28;S. Ousfar(C)
24-25;20;Championat de France;Exterieur;Defaite;Tarbes;;Starter;V. Gomis;28;23;0,38;23,38;5;8;0,63;4;5;0,80;1;3;0,33;4;5;0,80;;;;;;;;15;0;2;2;0;1;1;0;0;2;6;-10;13;75;V. Gomis
24-25;20;Championat de France;Exterieur;Defaite;Tarbes;;Banc;E. Peytour;13;38;0,63;38,63;3;7;0,43;2;3;0,67;1;4;0,25;0;0;;;;;;;;;7;0;1;1;2;0;1;0;0;1;1;-4;7;10;E. Peytour
24-25;20;Championat de France;Exterieur;Defaite;Tarbes;;Banc;L. Preneau;19;1;0,02;1,02;4;5;0,80;4;4;1,00;0;1;0,00;0;2;0,00;;;;;;;;8;0;2;2;2;0;0;0;0;3;4;-6;9;27;L. Preneau
24-25;20;Championat de France;Exterieur;Defaite;Tarbes;;Banc;D. Balayera;20;45;0,75;45,75;4;6;0,67;3;4;0,75;1;2;0,50;0;0;;;;;;;;;9;1;5;6;1;4;0;2;0;3;0;-11;12;77;D. Balayera
24-25;20;Championat de France;Exterieur;Defaite;Tarbes;;Banc;A. Bawara;0;3;0,05;3,05;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;-1;0;95;A. Bawara
24-25;20;Championat de France;Exterieur;Defaite;Tarbes;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;1;0;1;0;0;0;0;0;0;0;0;Team / Coach
24-25;20;Championat de France;Exterieur;Defaite;Tarbes;;Banc;TOTAUX EQUIPE;;;;;29;58;0,50;22;37;0,59;7;21;0,33;15;19;0,79;10;38;6;10;24;2;8;80;5;21;26;19;17;7;3;1;16;22;0;85;0;TOTAUX EQUIPE
24-25;21;Championat de France;Domicile;Defaite;Lattes Montpellier;;Starter;J. Phillips;25;16;0,27;16,27;4;12;0,33;3;6;0,50;1;6;0,17;1;1;1,00;;;;;;;;10;4;2;6;2;3;0;0;0;1;2;-13;7;5;J. Phillips
24-25;21;Championat de France;Domicile;Defaite;Lattes Montpellier;;Starter;B. Mccarty-Williams;35;39;0,65;39,65;4;9;0,44;1;2;0,50;3;7;0,43;3;4;0,75;;;;;;;;14;0;2;2;4;4;2;1;0;1;4;-15;13;21;B. Mccarty-Williams
