Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR;;;
23-24;1/8 de finale;Coupe de France;Domicile;Victoire;Roche Vendée;;Starter;E. Zemoura;16;40;0,67;16,67;0;1;0;0;0;;0;1;0;2;2;1;;;;;;;;2;0;3;3;3;0;1;0;0;2;1;10;8;2;E. Zemoura;;;
23-24;1/8 de finale;Coupe de France;Domicile;Victoire;Roche Vendée;;Starter;A. Jenkins;28;8;0,13;28,13;6;11;0,545454545;6;8;0,75;0;3;0;6;9;0,666666667;;;;;;;;18;3;4;7;2;2;2;0;1;2;7;10;19;24;A. Jenkins;;;
23-24;1/8 de finale;Coupe de France;Domicile;Victoire;Roche Vendée;;Starter;M. Toure;18;25;0,42;18,42;2;6;0,333333333;2;3;0,666666667;0;3;0;2;2;1;;;;;;;;6;2;1;3;3;3;0;0;0;1;1;3;5;28;M. Toure;;;
23-24;1/8 de finale;Coupe de France;Domicile;Victoire;Roche Vendée;;Starter;K. Linskens;28;56;0,93;28,93;9;15;0,6;8;11;0,727272727;1;4;0,25;3;5;0,6;;;;;;;;22;0;7;7;6;0;1;2;0;1;3;22;30;31;K. Linskens;;;
23-24;1/8 de finale;Coupe de France;Domicile;Victoire;Roche Vendée;Capitaine;Starter;R. Bernies;35;44;0,73;35,73;5;6;0,833333333;1;1;1;4;5;0,8;0;0;;;;;;;;;14;0;8;8;10;0;1;0;0;3;1;17;32;47;R. Bernies(C);;;
23-24;1/8 de finale;Coupe de France;Domicile;Victoire;Roche Vendée;;Banc;L. Djoko;2;2;0,03;2,03;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;1;L. Djoko;;;
23-24;1/8 de finale;Coupe de France;Domicile;Victoire;Roche Vendée;;Banc;S. Caetano;1;39;0,65;1,65;0;2;0;0;2;0;0;0;;0;0;;;;;;;;;0;1;0;1;0;0;0;0;0;0;0;0;-1;8;S. Caetano;;;
23-24;1/8 de finale;Coupe de France;Domicile;Victoire;Roche Vendée;;Banc;E. Naigre;23;28;0,47;23,47;4;8;0,5;2;5;0,4;2;3;0,666666667;0;0;;;;;;;;;10;0;0;0;1;1;1;0;0;3;0;-4;7;13;E. Naigre;;;
23-24;1/8 de finale;Coupe de France;Domicile;Victoire;Roche Vendée;;Banc;A. Alston;26;60;1;27;8;14;0,571428571;5;8;0,625;3;6;0,5;0;0;;;;;;;;;19;0;1;1;2;2;0;0;1;4;5;11;14;22;A. Alston;;;
23-24;1/8 de finale;Coupe de France;Domicile;Victoire;Roche Vendée;;Banc;K. Bell;17;58;0,97;17,97;0;6;0;0;5;0;0;1;0;2;2;1;;;;;;;;2;1;2;3;1;1;2;0;2;2;2;-4;1;23;K. Bell;;;
23-24;1/8 de finale;Coupe de France;Domicile;Victoire;Roche Vendée;;Banc;TOTAUX EQUIPE;;;;;34;69;0,492753623;24;43;0,558139535;10;26;0,384615385;15;20;0,75;18;40;15;18;31;15;12;93;9;27;36;28;9;8;2;4;18;20;0;118;;TOTAUX EQUIPE;;;
23-24;1/4 de finale;Coupe de France;Domicile;Defaite;Tarbes;;Starter;E. Naigre;17;50;0,83;17,83;1;3;0,333333333;1;2;0,5;0;1;0;1;1;1;;;;;;;;3;0;3;3;2;1;0;0;0;5;3;3;5;13;E. Naigre;;;
23-24;1/4 de finale;Coupe de France;Domicile;Defaite;Tarbes;;Starter;A. Alston;37;32;0,53;37,53;4;10;0,4;4;7;0,571428571;0;3;0;5;6;0,833333333;;;;;;;;13;1;0;1;1;2;0;0;1;1;3;-1;6;22;A. Alston;;;
23-24;1/4 de finale;Coupe de France;Domicile;Defaite;Tarbes;;Starter;A. Jenkins;34;4;0,07;34,07;3;6;0,5;3;6;0,5;0;0;;2;3;0,666666667;;;;;;;;8;0;3;3;2;1;2;1;0;1;3;-2;11;24;A. Jenkins;;;
23-24;1/4 de finale;Coupe de France;Domicile;Defaite;Tarbes;;Starter;M. Badiane;33;34;0,57;33,57;4;15;0,266666667;3;10;0,3;1;5;0,2;2;2;1;;;;;;;;11;1;7;8;3;2;1;0;0;1;2;-1;10;25;M. Badiane;;;
23-24;1/4 de finale;Coupe de France;Domicile;Defaite;Tarbes;Capitaine;Starter;R. Bernies;34;17;0,28;34,28;2;6;0,333333333;0;2;0;2;4;0,5;3;3;1;;;;;;;;9;1;4;5;3;3;0;0;0;5;3;-5;10;47;R. Bernies(C);;;
23-24;1/4 de finale;Coupe de France;Domicile;Defaite;Tarbes;;Banc;E. Zemoura;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;2;E. Zemoura;;;
