Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
24-25;4;Championat de France;Exterieur;Defaite;Basket Landes;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;4;2;6;0;2;0;0;0;0;0;0;0;0;Team / Coach
24-25;4;Championat de France;Exterieur;Defaite;Basket Landes;;Banc;TOTAUX EQUIPE;;;;;17;63;0,27;12;40;0,30;5;23;0,22;10;11;0,91;24;20;11;3;26;;9;49;13;26;39;11;18;6;2;3;14;15;0;42;0;TOTAUX EQUIPE
24-25;5;Championat de France;Domicile;Defaite;Tarbes;Capitaine;Starter;P. Lezin(C);21;22;0,37;22,37;0;3;0,00;0;1;0,00;0;2;0,00;0;0;;;;;;;;;0;0;2;2;1;0;0;0;0;2;0;-4;0;9;P. Lezin(C)
24-25;5;Championat de France;Domicile;Defaite;Tarbes;;Starter;N. Woolfolk;34;48;0,8;48,8;5;18;0,28;4;10;0,40;1;8;0,13;0;0;;;;;;;;;11;1;5;6;0;3;5;0;2;1;2;-11;6;13;N. Woolfolk
24-25;5;Championat de France;Domicile;Defaite;Tarbes;;Starter;A. Baker;21;47;0,78;47,78;6;14;0,43;6;13;0,46;0;1;0,00;4;6;0,67;;;;;;;;16;0;3;3;2;1;1;0;0;3;3;0;11;15;A. Baker
24-25;5;Championat de France;Domicile;Defaite;Tarbes;;Starter;E. Akhator;31;8;0,13;8,13;7;10;0,70;7;10;0,70;0;0;;0;1;0,00;;;;;;;;14;4;3;7;1;2;1;0;1;2;2;-9;17;23;E. Akhator
24-25;5;Championat de France;Domicile;Defaite;Tarbes;;Starter;A. Trasi;30;52;0,87;52,87;0;3;0,00;0;2;0,00;0;1;0,00;0;0;;;;;;;;;0;1;1;2;2;1;1;0;0;3;1;-5;1;32;A. Trasi
24-25;5;Championat de France;Domicile;Defaite;Tarbes;;Banc;M. Stervinou;23;50;0,83;50,83;2;7;0,29;1;4;0,25;1;3;0,33;1;2;0,50;;;;;;;;6;1;0;1;2;2;0;0;0;3;2;-11;1;10;M. Stervinou
24-25;5;Championat de France;Domicile;Defaite;Tarbes;;Banc;L. Evrard;10;7;0,12;7,12;3;5;0,60;1;2;0,50;2;3;0,67;0;0;;;;;;;;;8;0;1;1;2;2;1;0;0;2;1;-10;8;11;L. Evrard
24-25;5;Championat de France;Domicile;Defaite;Tarbes;;Banc;A. Kane;17;60;1;61;1;3;0,33;1;3;0,33;0;0;;1;1;1,00;;;;;;;;3;0;1;1;1;0;3;3;0;1;2;-12;9;17;A. Kane
