Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
23-24;1/4 finale Aller;Playoff;Exterieur;Defaite;Tarbes;;Banc;A. Duchet;27;15;0,25;27,25;5;10;0,5;3;4;0,75;2;6;0,333333333;1;2;0,5;;;;;;;;13;0;1;1;2;1;1;0;0;2;1;0;10;39;A. Duchet
23-24;1/4 finale Aller;Playoff;Exterieur;Defaite;Tarbes;;Banc;K. Mann;15;20;0,33;15,33;0;4;0;0;3;0;0;1;0;0;0;;;;;;;;;0;0;1;1;0;1;0;0;0;1;0;-20;-4;44;K. Mann
23-24;1/4 finale Aller;Playoff;Exterieur;Defaite;Tarbes;;Banc;TOTAUX EQUIPE;ERREUR;ERREUR;ERREUR;ERREUR;24;73;0,328767123;18;45;0,4;6;28;0,214285714;15;25;0,6;18;32;21;12;30;;14;69;21;23;44;15;17;12;0;3;28;23;0;64;;TOTAUX EQUIPE
23-24;1/4 finale Retour;Playoff;Domicile;Victoire;Tarbes;;Starter;A. Steinberga;22;47;0,78;22,78;2;6;0,333333333;2;5;0,4;0;1;0;5;6;0,833333333;;;;;;;;9;0;9;9;0;2;2;0;1;3;4;2;13;2;A. Steinberga
23-24;1/4 finale Retour;Playoff;Domicile;Victoire;Tarbes;;Starter;K. Nacickaite;21;59;0,98;21,98;4;12;0,333333333;0;2;0;4;10;0,4;0;0;;;;;;;;;12;1;2;3;4;3;1;0;0;3;0;11;9;6;K. Nacickaite
23-24;1/4 finale Retour;Playoff;Domicile;Victoire;Tarbes;;Starter;P. Astier;20;21;0,35;20,35;6;10;0,6;6;10;0,6;0;0;;0;0;;;;;;;;;12;2;1;3;1;1;0;0;0;4;1;9;11;18;P. Astier
23-24;1/4 finale Retour;Playoff;Domicile;Victoire;Tarbes;;Starter;A. Duchet;29;32;0,53;29,53;7;16;0,4375;3;9;0,333333333;4;7;0,571428571;1;2;0,5;;;;;;;;19;1;3;4;4;0;2;0;0;0;1;12;19;39;A. Duchet
23-24;1/4 finale Retour;Playoff;Domicile;Victoire;Tarbes;;Starter;K. Alexander;31;19;0,32;31,32;11;16;0,6875;11;16;0,6875;0;0;;2;2;1;;;;;;;;24;9;3;12;1;3;1;1;0;5;3;22;31;40;K. Alexander
23-24;1/4 finale Retour;Playoff;Domicile;Victoire;Tarbes;;Banc;S. Colley;17;44;0,73;17,73;3;8;0,375;1;4;0,25;2;4;0,5;5;6;0,833333333;;;;;;;;13;1;1;2;2;1;1;0;1;2;4;7;11;7;S. Colley
23-24;1/4 finale Retour;Playoff;Domicile;Victoire;Tarbes;;Banc;A. Filip;8;37;0,62;8,62;0;1;0;0;1;0;0;0;;2;2;1;;;;;;;;2;0;1;1;0;0;1;1;0;0;1;-7;4;11;A. Filip
23-24;1/4 finale Retour;Playoff;Domicile;Victoire;Tarbes;Capitaine;Banc;S. Michel;17;23;0,38;17,38;0;5;0;0;3;0;0;2;0;0;0;;;;;;;;;0;0;1;1;3;1;3;1;1;2;1;-1;2;17;S. Michel(C)
23-24;1/4 finale Retour;Playoff;Domicile;Victoire;Tarbes;;Banc;C. Collin;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;20;C. Collin
