Saison;Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
24-25;6;Championat de France;Exterieur;Defaite;Basket Landes;;Starter;A. Alston;32;31;0,52;31,52;7;13;0,54;5;8;0,63;2;5;0,40;6;8;0,75;;;;;;;;22;0;5;5;3;3;0;0;0;2;6;-8;19;22;A. Alston
24-25;6;Championat de France;Exterieur;Defaite;Basket Landes;;Starter;J. Adams;26;23;0,38;23,38;1;5;0,20;0;1;0,00;1;4;0,25;0;0;;;;;;;;;3;0;2;2;1;3;0;0;1;3;0;-18;-1;24;J. Adams
24-25;6;Championat de France;Exterieur;Defaite;Basket Landes;Capitaine;Starter;E. Tahane(C);32;31;0,52;31,52;5;9;0,56;5;9;0,56;0;0;;2;2;1,00;;;;;;;;12;1;7;8;0;3;1;0;1;3;2;-7;14;31;E. Tahane(C)
24-25;6;Championat de France;Exterieur;Defaite;Basket Landes;;Banc;A. Ngo Ndjock;20;8;0,13;8,13;1;8;0,13;1;4;0,25;0;4;0,00;1;1;1,00;;;;;;;;3;0;1;1;1;2;1;0;0;4;3;-9;-3;0;A. Ngo Ndjock
24-25;6;Championat de France;Exterieur;Defaite;Basket Landes;;Banc;A. Merceron;16;13;0,22;13,22;0;7;0,00;0;5;0,00;0;2;0,00;3;4;0,75;;;;;;;;3;4;3;7;0;1;1;0;2;2;5;-1;2;4;A. Merceron
24-25;6;Championat de France;Exterieur;Defaite;Basket Landes;;Banc;M. Dursus;15;26;0,43;26,43;1;4;0,25;1;2;0,50;0;2;0,00;0;0;;;;;;;;;2;0;0;0;1;0;1;0;0;3;1;-10;1;8;M. Dursus
24-25;6;Championat de France;Exterieur;Defaite;Basket Landes;;Banc;O. Diarisso;16;5;0,08;5,08;0;1;0,00;0;1;0,00;0;0;;2;2;1,00;;;;;;;;2;1;2;3;0;0;0;0;0;3;1;-15;4;23;O. Diarisso
24-25;6;Championat de France;Exterieur;Defaite;Basket Landes;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;1;0;1;0;0;0;0;0;0;0;0;Team / Coach
24-25;6;Championat de France;Exterieur;Defaite;Basket Landes;;Banc;TOTAUX EQUIPE;;;;;23;57;0,40;18;38;0,47;5;19;0,26;14;17;0,82;14;18;6;5;10;5;7;65;6;25;31;7;18;5;0;4;23;19;0;53;0;TOTAUX EQUIPE
24-25;7;Championat de France;Domicile;Defaite;Charnay;;Starter;A. Ngo Ndjock;32;56;0,93;56,93;7;18;0,39;5;12;0,42;2;6;0,33;0;0;;;;;;;;;16;2;3;5;2;3;1;0;2;4;2;-4;10;0;A. Ngo Ndjock
24-25;7;Championat de France;Domicile;Defaite;Charnay;;Starter;L. Mendez Camps;21;30;0,5;30,5;2;6;0,33;2;6;0,33;0;0;;0;1;0,00;;;;;;;;4;1;0;1;7;3;1;0;0;1;2;6;5;7;L. Mendez Camps
24-25;7;Championat de France;Domicile;Defaite;Charnay;;Starter;Q. Urbaniak-Dornstauder;22;42;0,7;42,7;4;9;0,44;4;9;0,44;0;0;;4;7;0,57;;;;;;;;12;4;5;9;0;0;0;0;1;1;4;0;13;11;Q. Urbaniak-Dornstauder
24-25;7;Championat de France;Domicile;Defaite;Charnay;;Starter;A. Alston;34;51;0,85;51,85;5;13;0,38;2;5;0,40;3;8;0,38;0;0;;;;;;;;;13;0;2;2;3;4;2;0;2;2;4;-2;8;22;A. Alston
24-25;7;Championat de France;Domicile;Defaite;Charnay;Capitaine;Starter;E. Tahane(C);24;52;0,87;52,87;0;6;0,00;0;6;0,00;0;0;;0;0;;;;;;;;;0;4;3;7;0;1;0;0;2;4;0;-16;0;31;E. Tahane(C)
24-25;7;Championat de France;Domicile;Defaite;Charnay;;Banc;A. Merceron;16;3;0,05;3,05;0;3;0,00;0;3;0,00;0;0;;4;4;1,00;;;;;;;;4;1;1;2;0;0;0;1;1;1;2;-8;4;4;A. Merceron
24-25;7;Championat de France;Domicile;Defaite;Charnay;;Banc;M. Dursus;16;23;0,38;23,38;1;4;0,25;0;2;0,00;1;2;0,50;2;2;1,00;;;;;;;;5;0;1;1;4;2;2;0;0;1;1;-13;7;8;M. Dursus
24-25;7;Championat de France;Domicile;Defaite;Charnay;;Banc;I. Nguinabe;0;4;0,07;4,07;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;10;I. Nguinabe
24-25;7;Championat de France;Domicile;Defaite;Charnay;;Banc;O. Diarisso;30;39;0,65;39,65;3;6;0,50;3;6;0,50;0;0;;4;7;0,57;;;;;;;;10;1;6;7;2;2;0;0;0;3;4;-8;11;23;O. Diarisso
24-25;7;Championat de France;Domicile;Defaite;Charnay;;Banc;J. Bayssiere;0;0;0;0;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;91;J. Bayssiere
24-25;7;Championat de France;Domicile;Defaite;Charnay;;Banc;Team / Coach;;;;;;;;;;;;;;;;;;;;;;;;0;6;2;8;0;2;0;0;0;0;0;0;0;0;Team / Coach
24-25;7;Championat de France;Domicile;Defaite;Charnay;;Banc;TOTAUX EQUIPE;;;;;22;65;0,34;16;49;0,33;6;16;0,38;14;21;0,67;21;28;12;11;19;4;8;64;19;23;42;18;17;6;1;8;17;19;0;64;0;TOTAUX EQUIPE
24-25;8;Championat de France;Exterieur;Victoire;Landerneau;;Starter;A. Ngo Ndjock;24;37;0,62;37,62;4;8;0,50;3;5;0,60;1;3;0,33;0;0;;;;;;;;;9;2;4;6;3;3;0;0;0;4;0;16;11;0;A. Ngo Ndjock
